Date,Normal_Var,Normal_ES,T_Var,T_ES,portfolio
2021-08-20,-7484.46125519549,-8618.538823762237,-7488.188772132766,-8619.329312079091,743.5817180033767
2021-08-23,-7479.490981678927,-8613.119567223031,-7483.217022886616,-8613.909742584367,-854.8961371233376
2021-08-24,-7485.597441198432,-8619.634537420734,-7489.3248251101095,-8620.424997527069,-2999.540139932099
2021-08-25,-7485.641926008451,-8619.679168285893,-7489.369310400185,-8620.469628494035,239.10745994461658
2021-08-26,-7485.719016700441,-8619.76389578557,-7489.446426193042,-8620.554361316812,-2771.460452467468
2021-08-27,-7482.031681336936,-8615.824677123841,-7485.758262932676,-8616.614967084372,264.9831411302156
2021-08-30,-7479.527774188985,-8613.348752144615,-7483.254447757276,-8614.13906160961,2103.7910194847345
2021-08-31,-7485.170261755242,-8619.160634206719,-7488.897492093959,-8619.951061745092,-2893.230042534548
2021-09-01,-7483.679202112894,-8617.540515256653,-7487.406008255976,-8618.330852836563,-1423.3718008594099
2021-09-02,-7483.027163637314,-8617.16183685019,-7486.754868267691,-8617.952364970806,2961.436497595765
2021-09-03,-7483.8193475461885,-8617.997639826923,-7487.547195544902,-8618.788198351423,-881.4036806741049
2021-09-07,-7493.9085998760675,-8629.146877180614,-7497.639931862332,-8629.93817454856,-5192.2193562162265
2021-09-08,-7490.578082622132,-8624.745725779097,-7494.305895619016,-8625.53627688082,395.29457793956635
2021-09-09,-7519.385330553117,-8656.676940882662,-7523.123411490105,-8657.469669489365,-8539.661685820794
2021-09-10,-7522.0327347724115,-8659.465516313674,-7525.771279714771,-8660.258343321222,-1602.4176419836056
2021-09-13,-7496.936366615412,-8631.604062334662,-7500.665823198633,-8632.394961989005,-329.5779533658792
2021-09-14,-7503.012341417436,-8637.740981686939,-7506.7419983148575,-8638.53192382158,-3380.809169899013
2021-09-15,-7493.760814011656,-8627.75285625582,-7497.488049838694,-8628.543284958094,1198.4555640773847
2021-09-16,-7500.060414818247,-8634.480044795639,-7503.789056052254,-8635.270771540232,-3084.317720266699
2021-09-17,-7505.333150783632,-8639.946100954103,-7509.062427427696,-8640.73696244905,-2683.553006891171
2021-09-20,-7507.065751531051,-8641.731775330762,-7510.795202618961,-8642.522673819722,-961.7677018290741
2021-09-21,-7508.017286943272,-8642.743981008389,-7511.746937443857,-8643.534921786466,-1174.4532451319326
2021-09-22,-7509.85831227382,-8644.57184570516,-7513.587919517677,-8645.362777309854,-868.4664127339399
2021-09-23,-7508.462107284717,-8642.711096186718,-7512.190187651005,-8643.501703989026,1707.3586457074878
2021-09-24,-7510.70768349567,-8644.925372707386,-7514.435660985286,-8645.715958692808,-1147.502952045902
2021-09-27,-7516.271258251041,-8650.997826433682,-7520.000908337872,-8651.788767124013,-3456.108756640269
2021-09-28,-7523.50790210814,-8659.020838364635,-7527.240136850903,-8659.812327178652,-5110.780533360272
2021-09-29,-7525.241503666764,-8661.13042610274,-7528.974974211107,-8661.922176991142,5190.129349227989
2021-09-30,-7528.160047930609,-8664.086039568958,-7531.893640315013,-8664.877816295777,-1544.4865902757397
2021-10-01,-7525.247464110345,-8661.000969467254,-7528.980489562157,-8661.792625965621,373.5523120537301
2021-10-04,-7535.503209436179,-8672.019086503056,-7539.238740672021,-8672.811274398877,-4395.3511177074915
2021-10-05,-7535.678952125816,-8672.482603825181,-7539.415429227133,-8673.27499230912,2982.996052139037
2021-10-06,-7533.9055282216,-8670.55183331802,-7537.641488151833,-8671.344112126348,-1539.4462000514748
2021-10-07,-7535.118323907173,-8672.19613403036,-7538.855702119839,-8672.988713611481,3812.2474614789176
2021-10-08,-7529.999527227144,-8666.649183944375,-7533.735498173573,-8667.441465088888,-298.1670576867088
2021-10-11,-7532.932266701084,-8669.743799525066,-7536.668769706295,-8670.536193502401,-1754.2869295935357
2021-10-12,-7533.072509338208,-8669.885480521032,-7536.809017071056,-8670.677875500947,80.04408943375333
2021-10-13,-7525.740890454564,-8662.149873558425,-7529.476070348428,-8662.941986945736,2268.6319054463406
2021-10-14,-7521.623231489923,-8658.058459257632,-7525.3584976454595,-8658.850590938313,3045.976237443417
2021-10-15,-7521.0131226582225,-8657.46993669272,-7524.748459764087,-8658.262083419717,1039.7182292122627
2021-10-18,-7517.944193162864,-8654.21651001638,-7521.678923858387,-8655.008528142947,405.0337847233613
2021-10-19,-7516.697854816739,-8653.243154762766,-7520.433482760501,-8654.035363167275,3115.160705930582
2021-10-20,-7516.676504252313,-8653.259965055628,-7520.412257624215,-8654.052200059472,1796.4761686551003
2021-10-21,-7522.006575673825,-8658.99711661494,-7525.743667047775,-8659.789635366655,-2900.719502416513
2021-10-22,-7521.225396130245,-8658.460542857494,-7524.963291481133,-8659.253232107261,2818.522840674226
2021-10-25,-7518.8002637225645,-8656.092914924786,-7522.538348080722,-8656.885644257009,2265.749058035415
2021-10-26,-7515.924196699067,-8653.13610263136,-7519.662015661479,-8653.92877568155,1408.5170314343386
2021-10-27,-7514.7027399493145,-8651.917709787485,-7518.440568982255,-8652.710384973314,1098.929829241132
2021-10-28,-7509.905014784289,-8647.225666313265,-7513.64319117468,-8648.018415162609,3964.1332551686014
2021-10-29,-7503.943637287422,-8640.905578619884,-7507.680634659401,-8641.698077436757,1489.4308994547944
2021-11-01,-7506.323228203803,-8643.524590323024,-7510.061012510524,-8644.317256023838,-3381.500810315626
2021-11-02,-7509.491985127522,-8647.972798960132,-7513.233974770864,-8648.76635647969,6096.954250711671
2021-11-03,-7504.512002112624,-8643.005531744855,-7508.254033550602,-8643.79909812773,3526.059484366119
2021-11-04,-7505.4139081291705,-8644.687028149134,-7509.158501945998,-8645.48113793143,4853.22276682381
2021-11-05,-7505.680265615551,-8644.973975505267,-7509.424927107722,-8645.768099639361,-1395.8902720073422
2021-11-08,-7509.121852878728,-8648.448220402202,-7512.866621710896,-8649.242367299712,-1813.5194740749143
2021-11-09,-7508.589242458415,-8647.6360523212,-7512.333092432875,-8648.430004358084,1436.7925796071595
2021-11-10,-7514.4850375794485,-8654.024104478001,-7518.230505517697,-8654.818399633772,-3214.8243134984527
2021-11-11,-7503.1688277231115,-8639.858752755916,-7506.904931024534,-8640.65106196873,-1466.0334569841964
2021-11-12,-7504.755403908229,-8641.49781652431,-7508.491679727264,-8642.290162322648,-896.2170932483248
2021-11-15,-7504.787864132844,-8641.533493622517,-7508.524150525187,-8642.32584166312,-2774.085357781117
2021-11-16,-7504.933052780553,-8641.692797094767,-7508.669385565886,-8642.485154973856,-2622.656188981429
2021-11-17,-7504.9373568688015,-8641.720108603042,-7508.673765275546,-8642.512482519034,1877.1320040711335
2021-11-18,-7503.440579253181,-8640.165909816553,-7507.176798926462,-8640.958243708157,479.20892907250163
2021-11-19,-7500.305107228627,-8636.80326307443,-7504.040580217881,-8637.595438617993,-131.86329115190222
2021-11-22,-7494.337711074211,-8630.258263998505,-7498.071285582502,-8631.05003693437,-1288.152041972219
2021-11-23,-7494.41581871895,-8630.326308433832,-7498.14936015121,-8631.118074355318,886.8182226457129
2021-11-24,-7493.488091443924,-8629.47831272153,-7497.221894940049,-8630.270134218463,1768.0369064636968
2021-11-26,-7411.303901018479,-8537.142588335659,-7415.004338177218,-8537.927333888922,185.6497605186542
2021-11-29,-7425.584092308747,-8552.613116506845,-7429.288441899057,-8553.39869176296,-5443.730827871811
2021-11-30,-7429.1207612540675,-8556.530430172765,-7432.826361957778,-8557.316270750422,-4313.53136918939
2021-12-01,-7430.029395257968,-8557.484506678033,-7433.735145323326,-8558.270378930561,-812.7199743167901
2021-12-02,-7428.2068200360845,-8555.52603194041,-7431.912123423224,-8556.311809466633,-627.6566885025491
2021-12-03,-7420.571345629335,-8547.358646995008,-7424.2749007184775,-8548.144053762586,1513.350376779098
2021-12-06,-7418.4440755905825,-8544.39091967121,-7422.144868241907,-8545.175740613193,279.7607327632035
2021-12-07,-7417.008291182496,-8542.829311788291,-7420.708670273807,-8543.61404502729,-1483.1452100922218
2021-12-08,-7421.448962468026,-8547.422772419704,-7425.1498437515065,-8548.20761215776,-2267.981662553967
2021-12-09,-7422.0815564549985,-8547.90922704249,-7425.78195740365,-8548.69396491674,152.2842797393216
2021-12-10,-7417.274705943099,-8542.893476390835,-7420.974420273102,-8543.678068655008,1826.6162727277883
2021-12-13,-7417.6577541395045,-8543.931609544987,-7421.359621620528,-8544.716658424315,4464.207411379237
2021-12-14,-7417.301728780562,-8543.576013369193,-7421.0035976722365,-8544.361062547678,552.3622319292651
2021-12-15,-7462.434773302616,-8596.6024998671,-7466.162586573647,-8597.39305102696,14596.623108587024
2021-12-16,-7443.57236671931,-8576.142797094608,-7447.294929953866,-8576.932234887965,3307.861616576262
2021-12-17,-7464.672608807479,-8598.381951526788,-7468.398915450045,-8599.172183178456,-8887.88643753272
2021-12-20,-7473.568009370708,-8607.757929239215,-7477.295895587293,-8608.548495868517,-4057.406389102867
2021-12-21,-7473.752604219843,-8607.775815090963,-7477.47994249277,-8608.566265518764,712.6101929359355
2021-12-22,-7473.557888736252,-8607.772553304198,-7477.285856284386,-8608.563137181345,2514.9086997961917
2021-12-23,-7473.638459737749,-8608.384279686463,-7477.368173101808,-8609.175233795891,4031.6596366473304
2021-12-27,-7471.839543570147,-8606.844754423184,-7475.57010950727,-8607.635889336363,3289.050329766497
2021-12-28,-7473.093027523549,-8608.058255735988,-7476.823462044645,-8608.849362779989,-384.87938075248746
2021-12-29,-7472.79325684759,-8607.746375791117,-7476.523651567612,-8608.53747439457,-96.88892059272703
2021-12-30,-7470.259466377933,-8605.061559512129,-7473.9893647022245,-8605.852552845765,266.33126702500914
2021-12-31,-7470.968592168074,-8605.641480782948,-7474.698065819444,-8606.432384056903,113.19056956867672
2022-01-03,-7485.791212440823,-8621.92142354554,-7489.525476059313,-8622.713342619858,-5707.4718611895405
2022-01-04,-7486.925667658635,-8622.853413982028,-7490.6592658103855,-8623.645191931919,-484.9559074489001
